survived,boardingLat,boardingLon,destinationLat,destinationLon
false,50.9105468,-1.4049018,38.6270025,-90.1994042
true,50.9105468,-1.4049018,45.5016889,-73.567256
true,50.9105468,-1.4049018,45.5016889,-73.567256
false,50.9105468,-1.4049018,45.5016889,-73.567256
false,50.9105468,-1.4049018,45.5016889,-73.567256
false,50.9105468,-1.4049018,40.7127753,-74.0059728
true,50.9105468,-1.4049018,42.2528649,-73.790959
true,50.9105468,-1.4049018,54.597285,-5.93012
false,50.9105468,-1.4049018,40.7585569,-73.7654367
true,49.6338979,-1.622224,-34.9011127,-56.1645314
false,49.6338979,-1.622224,40.7127753,-74.0059728
false,49.6338979,-1.622224,40.7127753,-74.0059728
true,49.6338979,-1.622224,48.856614,2.3522219
true,50.9105468,-1.4049018,53.723805,-0.434858
true,50.9105468,-1.4049018,40.7127753,-74.0059728
false,49.6338979,-1.622224,45.5016889,-73.567256
false,49.6338979,-1.622224,45.5016889,-73.567256
true,49.6338979,-1.622224,49.8954221,-97.1385145
false,50.9105468,-1.4049018,40.7127753,-74.0059728
true,50.9105468,-1.4049018,40.7127753,-74.0059728
true,49.6338979,-1.622224,40.7127753,-74.0059728
true,49.6338979,-1.622224,37.7749295,-122.4194155
false,49.6338979,-1.622224,41.9842123,-86.1086228
true,49.6338979,-1.622224,41.9842123,-86.1086228
true,50.9105468,-1.4049018,59.3293235,18.0685808
true,50.9105468,-1.4049018,40.2205824,-74.759717
false,49.6338979,-1.622224,40.805378,-74.2037566
true,50.9105468,-1.4049018,41.0997803,-80.6495194
true,50.9105468,-1.4049018,53.6297693,-3.0206349
true,50.9105468,-1.4049018,51.5072178,-0.1275862
false,49.6338979,-1.622224,42.7006303,-74.924321
true,50.9105468,-1.4049018,50.8556382,0.5525772
true,50.9105468,-1.4049018,34.0522342,-118.2436849
true,50.9105468,-1.4049018,46.4748738,-117.6026896
false,49.6338979,-1.622224,41.2565369,-95.9345034
false,49.6338979,-1.622224,39.9525839,-75.1652215
false,49.6338979,-1.622224,39.7392358,-104.990251
true,50.9105468,-1.4049018,42.3956405,-71.1776114
true,49.6338979,-1.622224,39.9525839,-75.1652215
true,50.9105468,-1.4049018,38.9071923,-77.0368707
false,50.9105468,-1.4049018,40.7127753,-74.0059728
true,49.6338979,-1.622224,38.9071923,-77.0368707
true,49.6338979,-1.622224,47.516231,14.550072
true,49.6338979,-1.622224,40.0292648,-75.174598
true,50.9105468,-1.4049018,40.7127753,-74.0059728
false,50.9105468,-1.4049018,-34.9011127,-56.1645314
false,50.9105468,-1.4049018,-34.9011127,-56.1645314
false,50.9105468,-1.4049018,40.0230237,-75.3151772
true,50.9105468,-1.4049018,40.0230237,-75.3151772
true,50.9105468,-1.4049018,40.0230237,-75.3151772
true,50.9105468,-1.4049018,40.0230237,-75.3151772
true,50.9105468,-1.4049018,51.4062365,-0.6755624
false,49.6338979,-1.622224,40.7127753,-74.0059728
true,50.9105468,-1.4049018,52.7375328,-2.2394397
false,50.9105468,-1.4049018,52.7375328,-2.2394397
true,50.9105468,-1.4049018,47.0049744,-97.2189763
false,50.9105468,-1.4049018,47.0049744,-97.2189763
true,50.9105468,-1.4049018,40.7127753,-74.0059728
true,50.9105468,-1.4049018,40.7127753,-74.0059728
true,50.9105468,-1.4049018,51.5072178,-0.1275862
true,49.6338979,-1.622224,48.856614,2.3522219
true,50.9105468,-1.4049018,50.8556382,0.5525772
true,50.9105468,-1.4049018,53.4083714,-2.9915726
false,49.6338979,-1.622224,34.0522342,-118.2436849
false,49.6338979,-1.622224,34.0522342,-118.2436849
true,50.9105468,-1.4049018,42.1229099,-71.1092012
false,50.9105468,-1.4049018,48.4284207,-123.3656444
false,49.6338979,-1.622224,40.082129,-74.2097014
true,49.6338979,-1.622224,40.082129,-74.2097014
false,49.6338979,-1.622224,40.082129,-74.2097014
true,50.9105468,-1.4049018,40.7127753,-74.0059728
true,50.9105468,-1.4049018,39.8489339,-86.8022295
false,50.9105468,-1.4049018,43.0389025,-87.9064736
false,50.9105468,-1.4049018,43.0389025,-87.9064736
true,50.9105468,-1.4049018,43.0389025,-87.9064736
true,49.6338979,-1.622224,40.7127753,-74.0059728
false,49.6338979,-1.622224,40.7127753,-74.0059728
true,50.9105468,-1.4049018,-12.0463731,-77.042754
true,50.9105468,-1.4049018,39.9525839,-75.1652215
true,50.9105468,-1.4049018,45.5016889,-73.567256
false,50.9105468,-1.4049018,45.5016889,-73.567256
true,50.9105468,-1.4049018,51.0447331,-114.0718831
true,50.9105468,-1.4049018,51.0447331,-114.0718831
true,50.9105468,-1.4049018,37.7749295,-122.4194155
true,50.9105468,-1.4049018,37.7749295,-122.4194155
true,50.9105468,-1.4049018,37.7749295,-122.4194155
true,49.6338979,-1.622224,44.9296853,-93.5224552
false,49.6338979,-1.622224,45.5016889,-73.567256
true,49.6338979,-1.622224,44.9296853,-93.5224552
true,49.6338979,-1.622224,51.5072178,-0.1275862
true,49.6338979,-1.622224,51.5072178,-0.1275862
true,49.6338979,-1.622224,39.9525839,-75.1652215
false,49.6338979,-1.622224,40.058403,-75.1894155
true,49.6338979,-1.622224,40.7127753,-74.0059728
true,49.6338979,-1.622224,42.3317642,-71.1211635
true,49.6338979,-1.622224,40.7127753,-74.0059728
